"Позиция ";"Наименование и техническая характеристика";"Тип, марка,

обозначение документа,

опросного листа";"Код оборудования,

изделия,

материала";"Завод-изготовитель";" Единица

измерения";"Количе-

ство";"Масса единицы, кг";"Примечание"
"50";"Кран шаровой  32х5,0/110 ППУ-ПЭ Н=541";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"2,00";"8,00"; 
"51";"Труба 45*4,0 ГОСТ 8734-75/В Ст 20 ГОСТ 8731-74";"ГОСТ 8731-74/ГОСТ 8732-78



"; ; ;"м.";"2,00";"4,00"; 
"52";"Труба 32*3,0 ГОСТ 8734-75/В Ст 20 ГОСТ 8731-74";"ГОСТ 8731-74/ГОСТ 8732-78



"; ; ;"м.";"1,30";"3,20"; 
"53";"Тройниковое ответвление 273х8,0/57х5,0-20 ГОСТ 10704-91-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"2,00";"106,30"; 
"54";"Тройниковое ответвление 57х4,0/32х4,0-20 ГОСТ 10704-91-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"2,00";"6,70"; 
"55";"Элемент трубопровода с кабелем вывода 273х7.0-20 ГОСТ 10704-91 -ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"4,00";"52,90"; 
"56";"Термоусаживаемая муфта КЗС(Т)-273х400";"ТУ 2246-002-86666777-2008"; ; ;"шт";"8,00"; ; 
"57";"Термоусаживаемая муфта КЗС(Т)-57х125";"ТУ 2246-002-86666777-2008"; ; ;"шт";"4,00"; ; 
"58";"Термоусаживаемая муфта КЗС(Т)-32х110";"ТУ 2246-002-86666777-2008"; ; ;"шт";"2,00"; ; 
"59";"Заглушка изоляции 32/110";"ТУ 2246-002-86666777-2008"; ; ;"шт";"2,00";" "; 
"60";"Переход Ст 57*4-38*4-ППУ-ПЭ";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"2,00";"6,30"; 
"61";"Переход Ст 57*4-38*4";"ГОСТ 17378"; ; ;"шт";"2,00";"2,30"; 
 ; ; ; ; ; ; ; ; 
 ;"Колодец дренажный КД3"; ; ; ; ; ; ; 
"62";"Кран шаровой 89х5,0/160 ППУ-ПЭ Н=548";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"4.0"; ; 
"63";"Труба 89х4,0/160-20 ГОСТ 10704-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704/ГОСТ 30732-2020



"; ; ;"м.";"4.0";"22.00"; 
"64";"Труба 89*4,0 ГОСТ 8734-75/В Ст 20 ГОСТ 8731-74";"ГОСТ 10704-91/ГОСТ 10705-80



"; ; ;"м.";"7.0";"10,80"; 
"65";"Тройниковое ответвление 273х8,0/89х5,0-20 ГОСТ 10704-91-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"4.0";"8,41"; 
"66";"Тройниковое ответвление 219х7,0/89х5,0-20 ГОСТ 10704-91-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"4.0";"112.20"; 
"67";"Тройниковое ответвление 108х4,0/89х4,0-20 ГОСТ 10704-91-ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"1,00";"64,10"; 
"68";"Элемент трубопровода с кабелем вывода 273х4.0-20 ГОСТ 10704-91 -ППУ1-ПЭ ГОСТ 30732-2020";"ГОСТ 10704-91/ ГОСТ 30732-2020"; ; ;"шт";"1,00";"26,60"; 
"69";"Термоусаживаемая муфта КЗС(Т)-273х400";"ТУ 2246-002-86666777-2008"; ; ;"шт";"4.0";"58.20"; 
"70";"Термоусаживаемая муфта КЗС(Т)-89х160";"ТУ 2246-002-86666777-2008"; ; ;"шт";"7.0";" "; 
"71";"Заглушка изоляции 89/160";"ТУ 2246-002-86666777-2008"; ; ;"шт";"4.0";" "; 
 ; ; ; ; ; ; ; ; 
 ;"Демонтаж"; ; ; ; ; ; ; 
 ;"Труба Ду300 ГОСТ 10704-91";" ГОСТ 10704-91"; ; ;"м";"107,20"; ; 
 ;"Труба Ду273 ГОСТ 10704-91";" ГОСТ 10704-91"; ; ;"м";"149,20"; ; 
 ;"Труба Ду 200 ГОСТ 10704-91";" ГОСТ 10704-91"; ; ;"м";"53,60"; ; 
 ;"Труба Ду 150 ГОСТ 10704-91";" ГОСТ 10704-91"; ; ;"м";"53,60"; ; 
 ;"Отвод Ду 300";"ГОСТ 17375"; ; ;"шт";"4"; ; 
 ;"Отвод Ду 273";"ГОСТ 17375"; ; ;"шт";"4"; ; 
 ;"Отвод Ду 200 ";"ГОСТ 17375"; ; ;"шт";"4"; ; 
 ;"Отвод Ду 150 ";"ГОСТ 17375"; ; ;"шт";"4"; ; 
 ;"Переход К-300/273";"ГОСТ17378"; ; ;"шт";"2"; ; 
 ;"Цилиндры минераловатные Ду 300"; ; ; ; ;"53,6"; ; 
 ;"Цилиндры минераловатные Ду 273"; ; ; ; ;"74,6"; ; 
 ;"Цилиндры минераловатные Ду 200"; ; ; ; ;"26,8"; ; 
 ;"Цилиндры минераловатные Ду 150"; ; ; ; ;"26,8"; ; 
 ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; 
